Azimuth	EH. Real part=	2400000000	2450000000	EH. Imaginary part=	2400000000.1	2450000000.1	EV. Real part=	2400000000.2	2450000000.2	EV. Imaginary part=	2400000000.3	2450000000.3	EH LogMag	EV LogMag
-3.14159265358979	0.111354037066299	0.16918412518596398	0.099293408381593	-0.22621481410232602	0.00433988087955337	0.147664621022122	0.00622562978824852	-0.000267170617184599	0.00148018639230682	-0.0026090993989358	0.0140667714248696	-0.00209043706766786	-27.555685712222253	-99.96351675832571
-3.08923277602996	0.14410310521675798	0.169464663348523	0.0684758167545303	-0.20581759525250098	0.0354858377795874	0.150576787111112	0.0556963737378945	-0.0119781373367949	-0.0514618538806917	0.0130104516673364	0.0660921867088079	-0.00981958667535355	-27.626132440016736	-57.22550120288096
-3.03687289847013	0.21229776771543898	0.171112056208978	0.0120308359043281	-0.15417583781579097	0.100714928722535	0.161476259648006	0.10228538433891099	-0.0220963329528524	-0.100885130335175	0.0248151061873727	0.11583609582810002	-0.0137502152835353	-26.759625920503247	-45.02786054369507
-2.9845130209103	0.301266258214798	0.171880064851786	-0.0600564148742572	-0.0831154336142201	0.18659941986286105	0.17983890648989398	0.13834830687197902	-0.0300602819548359	-0.14141119085682902	0.0323687342048076	0.155868960452877	-0.0153842230761055	-23.261656043511344	-39.026674569494475
-2.93215314335047	0.39322387745629295	0.168923574855226	-0.137675469704735	-0.00756183467660152	0.277505724812332	0.20453219258766603	0.15801266914367199	-0.0349764731866822	-0.168641712657809	0.0354467839692307	0.17977974952400602	-0.0163303026657167	-18.663825949569983	-36.41062025615859
-2.87979326579064	0.471443901253565	0.15933309026198	-0.21247383442916398	0.0590554519688046	0.35931887352828995	0.232561462274388	0.15866983508918303	-0.0355858992606794	-0.17965724479350198	0.0336702840661489	0.18370008651919	-0.0173092580705678	-14.88340825710005	-36.37813610931149
-2.8274333882308103	0.5239285592586479	0.140813672592182	-0.278954145745937	0.10856541481299901	0.42242914313077	0.258476528524945	0.141667201776419	-0.0306009292326559	-0.173438556972306	0.0265044158673297	0.16734612999338	-0.0176917896740386	-12.507584331681409	-38.741454959100174
-2.77507351067098	0.545755892355179	0.11246856960579599	-0.33471840170766803	0.13967726140918602	0.463295260062171	0.275094946624231	0.11202117102868901	-0.0193478723970958	-0.151239798340719	0.0137014155933087	0.13431981803821302	-0.015799679376983	-11.477209246495278	-43.632856257618556
-2.72271363311115	0.5396161332645	0.0755249273995618	-0.3800053659648279	0.156977706733207	0.484316865527673	0.275587665269308	0.0772315586550929	-0.0024828925542427697	-0.11682597750553599	-0.00397868204261271	0.0915694246479399	-0.00986901643691334	-11.525588735285169	-51.192438183124594
-2.6703537555513197	0.51448508401406	0.0337375187943426	-0.41678585281508707	0.16781505469934102	0.492204476171031	0.25627245918831	0.0455103550715244	0.0175458141861337	-0.0763791610117317	-0.024134588708037998	0.0480907372266622	0.000731976236176809	-12.280715462486903	-59.31811393402676
-2.6179938779914904	0.48281924528896397	-0.00680167181896394	-0.447702397709401	0.17836929836690102	0.495407531475008	0.21898460982256196	0.023881274469457	0.0365874846733534	-0.0378583968558981	-0.0425950274951684	0.0131192523016498	0.0145899542630394	-13.282895247605293	-60.387022292097036
-2.5656340004316602	0.45700412145321995	-0.0385967142913937	-0.47509272076747106	0.19049048567262	0.501359719944207	0.171875115927771	0.0166265126331495	0.0495677289047406	-0.00971229153467861	-0.0540736969701161	-0.00581301834837078	0.02812370464469	-14.059282826470469	-57.444777189732825
-2.51327412287183	0.445963467693908	-0.0543371953316438	-0.500258977014292	0.200560071426948	0.514285898072291	0.127973611880711	0.0244528582377579	0.0518484155747627	0.000927448834846242	-0.053591565796425995	-0.00453254754809077	0.0364521155044215	-14.308409635202006	-56.63601203608938
-2.460914245312	0.45279504718177105	-0.0487872889726927	-0.5230678651003321	0.200819307265964	0.534104609926336	0.101683483464544	0.0445527749890502	0.0408115671802479	-0.00982108268122607	-0.038303201810928	0.0167931954661246	0.0350579880603397	-14.050623881931553	-56.68776874490259
-2.40855436775217	0.47403637318694897	-0.020422168404988	-0.541903807172002	0.18262724819167603	0.556622424683964	0.104232950158481	0.071502117213059	0.0171553171559125	-0.0411076077874407	-0.00910521076392949	0.0536014938933803	0.021697525249002	-13.545507826340026	-52.59970568030474
-2.3561944901923395	0.50073551908362	0.027764787072307003	-0.5539467889537351	0.14033737606973198	0.5748489381578771	0.139638456022943	0.0987270259540456	-0.0146003349073343	-0.0868970444311412	0.0286450953635537	0.0978659895881397	-0.00216576376796158	-13.07739630603499	-45.499656719009415
-2.30383461263252	0.521010908948601	0.0886712354023315	-0.5557006732823271	0.0742168527119372	0.5809655336416729	0.202704209847746	0.1201414185238	-0.0467080080592443	-0.13690358782554402	0.0657637949089184	0.139842796869164	-0.0310295348375478	-12.838803516593577	-39.76090322094215
-2.25147473507269	0.5233623498495711	0.152733872752914	-0.543654963308645	-0.00881672057970195	0.5683346573654899	0.279953881082761	0.13153393235496003	-0.0698703023334383	-0.178865264991749	0.0912694035458762	0.170252621778948	-0.0564063172401741	-12.946786928925818	-36.63941822396697
-2.19911485751286	0.49976972987795004	0.21041000429218698	-0.514932193492981	-0.0970281094654274	0.532973649722395	0.353371054026039	0.131370299001601	-0.0756211912913708	-0.20165265294925797	0.0953511008446032	0.18238999011342	-0.0690643388220851	-13.50216130671516	-36.36287463499701
-2.14675497995302	0.44766642151731895	0.25474982531581897	-0.467771190205626	-0.17764621985531603	0.47412017873925394	0.4057831162455971	0.120846436267411	-0.0587597205639198	-0.198352807475818	0.0724236887852483	0.173639487030325	-0.0618100897461113	-14.611756594864726	-39.1959903844083
-2.09439510239319	0.37020491093341795	0.283205348810194	-0.401737464487639	-0.24118410889415398	0.393820430596764	0.42605669640605703	0.10323133723089001	-0.019101997831328	-0.168369110264779	0.0232791222992685	0.14600236338139	-0.0319212285267893	-16.33620721377216	-44.91964140209754
-2.04203522483337	0.274758029054791	0.298003939085732	-0.317635482994665	-0.28462380507178997	0.295783360208095	0.412255227123323	0.08272236476871699	0.0380306957868644	-0.11779697572631698	-0.0444585228673415	0.10547455148072399	0.0176049187193638	-18.546821129598445	-47.30784443318434
-1.98967534727354	0.17016560140203196	0.30485442078594704	-0.217202145942673	-0.312170823810073	0.183969554070043	0.37157935637980105	0.0631516319489401	0.10281794119366498	-0.0578305448080373	-0.117876628633608	0.0604136166616677	0.0784677724784914	-20.68248773951111	-40.239031613934834
-1.93731546971371	0.0636622289303616	0.310318390468832	-0.10274826241054302	-0.333173921472576	0.0614525876841217	0.31704813749971805	0.0469031967252588	0.163223150077531	-0.00157836631591221	-0.181983082166194	0.0193091038939437	0.13908720055770402	-21.623211780039107	-33.43369550295703
-1.88495559215388	-0.0414419607170898	0.318678237562861	0.0230557641007913	-0.35788279074093604	-0.0700178228728812	0.262077363699108	0.0343254325166042	0.20793568559383702	0.0397901415889882	-0.22368080408282298	-0.0114520209975165	0.18763914419153302	-20.417795194497575	-29.71794337219339
-1.8325957145940501	-0.146473162336841	0.32938413150990803	0.157107122040408	-0.39257698165692606	-0.209575162123183	0.21492702123092003	0.0237753704863168	0.22913402640202102	0.060375052713937005	-0.23530981159813602	-0.0292132060801629	0.21516018956055605	-17.397113390733598	-28.8354753380128
-1.7802358370342202	-0.25616398614470604	0.3360571453138	0.295496987315696	-0.4359133188103089	-0.356061466964753	0.175106189141388	0.0122545162647385	0.22427000380229398	0.0612737424473593	-0.21664674324734698	-0.0356104490184715	0.217746947710861	-13.639834730678565	-30.557798906376803
-1.7278759594743898	-0.375812760852731	0.32757521638913895	0.432985960664116	-0.47797411786186206	-0.5065444163435711	0.133174377592079	-0.00356266875951935	0.196365360651501	0.0501057158803509	-0.174712824982685	-0.0358996894749962	0.19717728676582602	-9.950783210068352	-34.88807576456172
-1.6755160819145603	-0.507755699303363	0.291104764146911	0.5626111579948809	-0.5025719866587689	-0.655102615520776	0.0741784827060836	-0.0262041686437695	0.15276662148512	0.0384327806816008	-0.121432480773455	-0.0372289344272052	0.159811740037379	-6.725714170161435	-41.71279225202426
-1.6231562043547298	-0.648388192031568	0.21627704960938302	0.6757454961017441	-0.49220579862038893	-0.7924189851557091	-0.0163617735366695	-0.0564899412283001	0.10277712247785802	0.0378629152053133	-0.0698786107961023	-0.0463412355907331	0.114209710244342	-4.114724223001974	-48.19089696523786
-1.5707963267949	-0.7868795740488359	0.09926923417281501	0.7628370996684491	-0.43408466299413107	-0.906500832407558	-0.145979225326431	-0.0930758499808687	0.0549228160839975	0.0560737754389035	-0.0303022008364107	-0.0673671280080179	0.0683143291086412	-2.136772996109178	-46.47938111647419
-1.5184364492350702	-0.9062362094109928	-0.0545064234438368	0.814845990265352	-0.325199079678295	-0.984501674605913	-0.310611467730865	-0.132561781020996	0.0147015829529705	0.0940397688067659	-0.0072133790169452	-0.10034845082735303	0.0271756015541018	-0.757817474114887	-40.38456299305391
-1.4660765716752402	-0.986624482908234	-0.23004092703135604	0.825129108980948	-0.17468545833683902	-1.01525938958035	-0.493529641837915	-0.170121220273352	-0.016514496290479998	0.14537114511801502	0.00156961952402826	-0.14093041020643501	-0.00804405632278762	0.03935126850574556	-35.424029469599496
-1.4137166941154098	-1.0101067979895602	-0.40495595033905	0.791298267042533	-0.00261348507871717	-0.9919032712773791	-0.6683936345699051	-0.200477489172063	-0.0411462083139823	0.19799505139881196	0.0036419939500679202	-0.18132347024707898	-0.0395201186642326	0.2011882597557732	-32.13776653153543
